PAD,ASIC,Channel,Channeltype
198,0,40,0
199,0,39,0
200,0,37,0
201,0,41,0
202,0,60,0
203,0,62,0
204,0,48,0
222,0,42,0
223,0,44,0
224,0,43,0
225,0,58,0
226,0,61,0
227,0,46,0
228,0,50,0
248,0,36,0
249,0,38,0
250,0,59,0
251,0,54,0
252,0,47,0
253,0,1,1
254,0,45,0
255,0,49,0
273,0,1,0
274,0,56,0
275,0,55,0
276,0,64,0
277,0,53,0
278,0,51,0
297,0,7,0
298,0,0,0
299,0,57,0
300,0,65,0
301,0,66,0
302,0,52,0
319,0,5,0
320,0,8,0
321,0,4,0
322,0,69,0
323,0,70,0
324,0,68,0
342,0,9,0
343,0,6,0
344,0,2,0
345,0,29,0
346,0,67,0
347,0,71,0
361,0,10,0
362,0,13,0
363,0,3,0
364,0,35,0
365,0,33,0
366,0,63,0
380,0,11,0
382,0,12,0
383,0,17,0
384,0,28,0
385,0,0,1
386,0,27,0
387,0,31,0
400,0,14,0
401,0,15,0
402,0,20,0
403,0,32,0
404,0,34,0
419,0,16,0
420,0,26,0
421,0,25,0
422,0,30,0
437,0,19,0
438,0,23,0
439,0,22,0
454,0,21,0
455,0,24,0
468,0,18,0
191,1,64,0
192,1,68,0
193,1,63,0
194,1,28,0
195,1,23,0
196,1,19,0
214,1,65,0
215,1,66,0
216,1,67,0
217,1,30,0
218,1,32,0
219,1,25,0
220,1,21,0
221,1,0,1
239,1,56,0
240,1,59,0
241,1,54,0
242,1,33,0
243,1,34,0
244,1,27,0
245,1,26,0
247,1,22,0
265,1,57,0
266,1,58,0
267,1,60,0
268,1,29,0
269,1,35,0
270,1,10,0
271,1,24,0
272,1,18,0
289,1,55,0
290,1,62,0
291,1,61,0
292,1,31,0
293,1,11,0
294,1,17,0
296,1,20,0
313,1,1,0
314,1,3,0
315,1,0,0
316,1,14,0
317,1,15,0
318,1,13,0
336,1,2,0
337,1,4,0
338,1,8,0
339,1,12,0
340,1,9,0
357,1,7,0
358,1,5,0
359,1,6,0
360,1,16,0
367,2,9,0
368,2,12,0
369,2,11,0
370,2,6,0
371,2,0,0
372,2,4,0
374,2,37,0
375,2,40,0
376,2,44,0
377,2,45,0
378,2,49,0
379,2,52,0
388,2,17,0
389,2,16,0
390,2,10,0
391,2,7,0
392,2,8,0
393,2,2,0
394,2,39,0
395,2,38,0
396,2,42,0
397,2,51,0
398,2,46,0
399,2,48,0
405,2,15,0
406,2,14,0
407,2,13,0
408,2,5,0
409,2,1,0
411,2,3,0
412,2,36,0
413,2,43,0
414,2,41,0
415,2,53,0
416,2,47,0
417,2,50,0
423,2,23,0
424,2,20,0
425,2,21,0
426,2,0,1
427,2,28,0
428,2,30,0
429,2,29,0
430,2,67,0
431,2,64,0
432,2,65,0
433,2,1,1
434,2,57,0
435,2,56,0
436,2,55,0
440,2,19,0
441,2,18,0
442,2,25,0
443,2,34,0
445,2,32,0
446,2,33,0
447,2,69,0
448,2,66,0
449,2,68,0
450,2,59,0
451,2,62,0
453,2,58,0
456,2,22,0
457,2,24,0
458,2,26,0
459,2,27,0
460,2,35,0
461,2,31,0
462,2,71,0
463,2,63,0
464,2,70,0
465,2,61,0
466,2,60,0
467,2,54,0
181,3,66,0
182,3,68,0
183,3,63,0
184,3,69,0
185,3,35,0
186,3,29,0
187,3,33,0
188,3,30,0
190,3,34,0
205,3,64,0
206,3,65,0
207,3,71,0
208,3,70,0
209,3,67,0
210,3,27,0
211,3,31,0
212,3,28,0
213,3,32,0
229,3,53,0
230,3,51,0
231,3,45,0
232,3,56,0
233,3,54,0
234,3,62,0
235,3,24,0
236,3,25,0
237,3,23,0
256,3,48,0
257,3,52,0
258,3,49,0
259,3,57,0
260,3,58,0
261,3,61,0
262,3,26,0
263,3,22,0
264,3,21,0
279,3,50,0
280,3,47,00
281,3,46,0
282,3,59,0
283,3,60,0
284,3,55,0
285,3,20,0
286,3,18,0
288,3,19,0
303,3,43,0
304,3,41,0
305,3,39,0
306,3,1,1
307,3,1,0
308,3,3,0
309,3,7,0
310,3,13,0
311,3,17,0
312,3,16,0
325,3,42,0
326,3,37,0
327,3,38,0
328,3,2,0
329,3,4,0
330,3,0,0
331,3,15,0
333,3,9,0
334,3,14,0
335,3,0,1
348,3,44,0
349,3,40,0
350,3,36,0
351,3,5,0
352,3,8,0
353,3,6,0
354,3,10,0
355,3,11,0
356,3,12,0
-1,0,0,100
-2,0,1,100
-3,0,2,100
-4,0,3,100
-5,1,0,100
-6,1,1,100
-7,1,2,100
-8,1,3,100
-9,2,0,100
-10,2,1,100
-11,2,2,100
-12,2,3,100
-13,3,0,100
-14,3,1,100
-15,3,2,100
-16,3,3,100

-17,1,36,0
-18,1,37,0
-19,1,38,0
-20,1,39,0
-21,1,40,0
-22,1,41,0
-23,1,42,0
-24,1,43,0
-25,1,44,0
-26,1,45,0
-27,1,46,0
-28,1,47,0
-29,1,48,0
-30,1,49,0
-31,1,50,0
-32,1,51,0
-33,1,52,0
-34,1,53,0
-35,1,69,0
-36,1,70,0
-37,1,71,0
