PAD,ASIC,Channel,Channeltype
229,0,9,0
230,0,11,0
231,0,16,0
256,0,12,0
257,0,14,0
258,0,10,0
259,0,8,0
260,0,1,0
261,0,3,0
262,0,2,0
263,0,0,0
279,0,15,0
280,0,13,0
281,0,17,0
282,0,7,0
283,0,6,0
284,0,5,0
285,0,4,0
286,0,64,0
303,0,21,0
304,0,25,0
305,0,20,0
306,0,0,1
307,0,51,0
308,0,53,0
309,0,52,0
310,0,63,0
325,0,19,0
326,0,24,0
327,0,18,0
328,0,45,0
329,0,50,0
330,0,46,0
331,0,65,0
348,0,23,0
349,0,26,0
350,0,22,0
351,0,49,0
352,0,48,0
353,0,47,0
367,0,29,0
368,0,28,0
369,0,27,0
370,0,42,0
371,0,39,0
372,0,44,0
388,0,30,0
389,0,34,0
390,0,35,0
391,0,40,0
392,0,36,0
405,0,32,0
406,0,33,0
407,0,31,0
408,0,41,0
409,0,43,0
423,0,58,0
424,0,59,0
425,0,61,0
426,0,1,1
427,0,37,0
440,0,55,0
441,0,56,0
442,0,62,0
443,0,38,0
456,0,57,0
457,0,54,0
458,0,60,0
1,1,68,0
2,1,63,0
3,1,70,0
15,1,65,0
16,1,66,0
17,1,71,0
28,1,64,0
29,1,67,0
30,1,69,0
31,1,0,1
32,1,33,0
46,1,54,0
47,1,56,0
48,1,59,0
49,1,32,0
61,1,55,0
62,1,57,0
63,1,62,0
64,1,34,0
65,1,30,0
79,1,60,0
80,1,58,0
81,1,61,0
82,1,35,0
83,1,28,0
96,1,49,0
97,1,51,0
98,1,53,0
99,1,31,0
100,1,27,0
101,1,29,0
117,1,50,0
118,1,45,0
119,1,52,0
120,1,25,0
121,1,26,0
122,1,24,0
136,1,48,0
137,1,47,0
138,1,46,0
139,1,1,1
140,1,18,0
141,1,19,0
142,1,22,0
143,1,15,0
160,1,40,0
161,1,43,0
162,1,41,0
163,1,20,0
164,1,21,0
165,1,23,0
166,1,17,0
181,1,44,0
182,1,42,0
183,1,36,0
184,1,8,0
185,1,6,0
186,1,5,0
187,1,13,0
188,1,14,0
205,1,37,0
206,1,39,0
207,1,38,0
208,1,1,0
209,1,4,0
210,1,7,0
211,1,10,0
212,1,16,0
232,1,3,0
233,1,2,0
234,1,0,0
235,1,11,0
236,1,12,0
237,1,9,0
-1,0,66,0
-2,0,67,0
-3,0,68,0
-4,0,69,0
-5,0,70,0
-6,0,71,0
-10,0,0,100
-11,0,1,100
-12,0,2,100
-13,0,3,100
-14,1,0,100
-15,1,1,100
-16,1,2,100
-17,1,3,100
