PAD,ASIC,Channel,Channeltype
1,0,25,0
2,0,24,0
3,0,20,0
5,0,3,0
6,0,0,0
7,0,6,0
8,1,60,0
9,1,56,0
10,1,61,0
11,1,68,0
13,1,63,0
14,1,69,0
15,0,19,0
16,0,23,0
17,0,18,0
18,0,1,0
19,0,4,0
20,0,2,0
21,1,54,0
22,1,57,0
23,1,62,0
24,1,70,0
25,1,66,0
26,1,71,0
27,1,35,0
28,0,26,0
29,0,21,0
30,0,22,0
32,0,7,0
34,0,5,0
35,0,8,0
36,1,58,0
37,1,55,0
38,1,59,0
40,1,67,0
41,1,64,0
43,1,65,0
44,1,31,0
45,1,27,0
46,0,32,0
47,0,34,0
48,0,33,0
49,0,13,0
50,0,9,0
51,0,11,0
52,1,52,0
53,1,51,0
54,1,49,0
55,1,25,0
56,1,23,0
57,1,18,0
58,1,30,0
59,1,34,0
60,1,32,0
61,0,31,0
62,0,30,0
63,0,29,0
64,0,15,0
65,0,14,0
67,0,17,0
68,1,50,0
69,1,45,0
70,1,53,0
71,1,26,0
72,1,19,0
73,1,21,0
75,1,28,0
76,1,29,0
77,1,33,0
78,1,16,0
79,0,35,0
80,0,27,0
81,0,28,0
82,0,10,0
83,0,16,0
84,0,12,0
85,1,48,0
86,1,47,0
87,1,46,0
88,1,22,0
89,1,20,0
90,1,24,0
91,1,0,0
92,1,7,0
93,1,5,0
94,1,12,0
95,1,14,0
96,0,63,0
97,0,71,0
98,0,67,0
99,0,46,0
100,0,47,0
101,0,48,0
103,0,40,0
104,0,36,0
105,0,44,0
106,1,42,0
107,1,44,0
108,1,40,0
109,1,4,0
111,1,2,0
112,1,6,0
113,1,13,0
115,1,15,0
116,1,17,0
117,0,68,0
118,0,70,0
119,0,69,0
120,0,53,0
121,0,45,0
122,0,50,0
123,0,43,0
124,0,42,0
125,0,38,0
126,1,43,0
127,1,38,0
128,1,36,0
129,1,3,0
130,1,1,0
131,1,8,0
132,1,10,0
133,1,9,0
134,1,11,0
135,2,19,0
136,0,65,0
137,0,64,0
138,0,66,0
140,0,52,0
141,0,51,0
142,0,49,0
143,0,41,0
145,0,37,0
147,0,39,0
148,1,41,0
149,1,37,0
150,1,39,0
151,2,1,0
152,2,6,0
154,2,7,0
155,2,11,0
156,2,21,0
157,2,23,0
158,2,24,0
159,2,22,0
160,0,59,0
161,0,61,0
162,0,62,0
163,0,55,0
164,0,58,0
165,0,60,0
166,0,57,0
167,0,56,0
168,0,54,0
169,2,4,0
170,2,0,0
171,2,2,0
172,2,3,0
173,2,5,0
174,2,8,0
175,2,9,0
176,2,10,0
177,2,26,0
178,2,25,0
179,2,18,0
180,2,20,0
31,0,0,1
139,0,1,1
39,1,0,1
146,1,1,1
114,2,0,1

-1,2,12,0
-2,2,13,0
-3,2,14,0
-4,2,15,0
-5,2,16,0
-6,2,17,0
-7,2,27,0
-8,2,28,0
-9,2,29,0
-10,2,30,0
-11,2,31,0
-12,2,32,0
-13,2,33,0
-14,2,34,0
-15,2,35,0
-16,2,36,0
-17,2,37,0
-18,2,38,0
-19,2,39,0
-20,2,40,0
-21,2,41,0
-22,2,42,0
-23,2,43,0
-24,2,44,0
-25,2,45,0
-26,2,46,0
-27,2,47,0
-28,2,48,0
-29,2,49,0
-30,2,50,0
-31,2,51,0
-32,2,52,0
-33,2,53,0
-34,2,54,0
-35,2,55,0
-36,2,56,0
-37,2,57,0
-38,2,58,0
-39,2,59,0
-40,2,60,0
-41,2,61,0
-42,2,62,0
-43,2,63,0
-44,2,64,0
-45,2,65,0
-46,2,66,0
-47,2,67,0
-48,2,68,0
-49,2,69,0
-50,2,70,0
-51,2,71,0

-60,0,0,100
-61,0,1,100
-62,0,2,100
-63,0,3,100
-64,1,0,100
-65,1,1,100
-66,1,2,100
-67,1,3,100
-68,2,0,100
-69,2,1,100
-70,2,2,100
-71,2,3,100

