PAD,ASIC,Channel,Channeltype
1,0,55,0
2,0,56,0
3,0,61,0
4,0,60,0
5,0,35,0
6,0,34,0
7,0,22,0
8,0,21,0
9,0,57,0
10,0,58,0
11,0,59,0
12,0,62,0
14,0,33,0
16,0,32,0
17,0,20,0
18,0,19,0
19,1,23,0
20,0,66,0
21,0,65,0
22,0,70,0
23,0,71,0
24,0,30,0
25,0,31,0
26,0,24,0
27,0,23,0
28,1,26,0
30,0,67,0
31,0,64,0
32,0,68,0
33,0,69,0
34,0,28,0
35,0,29,0
37,0,26,0
38,0,25,0
39,1,24,0
40,1,25,0
43,0,49,0
44,0,52,0
45,0,48,0
46,0,47,0
47,0,11,0
48,0,9,0
49,0,15,0
50,0,16,0
51,1,31,0
52,1,29,0
55,0,51,0
56,0,50,0
57,0,45,0
58,0,46,0
59,0,12,0
60,0,10,0
61,0,13,0
63,0,14,0
64,1,21,0
66,1,30,0
67,1,28,0
71,0,41,0
72,0,43,0
73,0,39,0
74,0,36,0
75,0,0,0
76,0,1,0
77,0,6,0
78,0,5,0
79,1,20,0
80,1,32,0
81,1,35,0
85,0,40,0
86,0,42,0
87,0,37,0
88,0,38,0
89,0,2,0
91,0,3,0
92,0,7,0
93,0,4,0
95,1,19,0
96,1,22,0
97,1,34,0
98,1,33,0
103,2,4,0
104,2,5,0
105,2,1,0
106,2,3,0
107,2,39,0
108,2,37,0
109,2,42,0
110,2,43,0
111,1,3,0
112,1,2,0
113,1,16,0
114,1,14,0
119,2,7,0
120,2,6,0
121,2,0,0
122,2,2,0
123,2,38,0
124,2,36,0
125,2,40,0
126,2,41,0
128,1,1,0
129,1,0,0
130,1,15,0
136,2,11,0
137,2,9,0
138,2,13,0
139,2,14,0
140,2,50,0
141,2,51,0
142,2,47,0
143,2,46,0
144,1,12,0
145,1,9,0
146,1,13,0
151,2,10,0
152,2,12,0
153,2,15,0
154,2,16,0
155,2,52,0
156,2,49,0
157,2,48,0
159,2,45,0
161,1,11,0
162,1,10,0
167,2,21,0
168,2,20,0
170,2,33,0
171,2,34,0
172,2,60,0
173,2,59,0
174,2,57,0
175,2,55,0
176,1,7,0
177,1,5,0
180,2,19,0
181,2,22,0
182,2,32,0
183,2,35,0
184,2,62,0
185,2,61,0
187,2,58,0
188,2,56,0
189,1,6,0
193,2,23,0
194,2,26,0
195,2,28,0
196,2,31,0
197,2,69,0
198,2,70,0
199,2,64,0
200,2,66,0
201,1,4,0
203,2,24,0
204,2,25,0
205,2,30,0
206,2,29,0
207,2,71,0
209,2,68,0
210,2,67,0
211,2,65,0

90,0,0,1
13,0,1,1
65,1,0,1
169,2,0,1
160,2,1,1
