PAD,ASIC,Channel,Channeltype
1,0,55,0
2,0,56,0
3,0,61,0
4,0,60,0
5,0,35,0
6,0,34,0
7,0,22,0
8,0,21,0
9,0,57,0
10,0,58,0
11,0,59,0
12,0,62,0
13,0,1,1
14,0,33,0
16,0,32,0
17,0,20,0
18,0,19,0
20,0,66,0
21,0,65,0
22,0,70,0
23,0,71,0
24,0,30,0
25,0,31,0
26,0,24,0
27,0,23,0
30,0,67,0
31,0,64,0
32,0,68,0
33,0,69,0
34,0,28,0
35,0,29,0
37,0,26,0
38,0,25,0
43,0,49,0
44,0,52,0
45,0,48,0
46,0,47,0
47,0,11,0
48,0,9,0
49,0,15,0
50,0,16,0
55,0,51,0
56,0,50,0
57,0,45,0
58,0,46,0
59,0,12,0
60,0,10,0
61,0,13,0
63,0,14,0
71,0,41,0
72,0,43,0
73,0,39,0
74,0,36,0
75,0,0,0
76,0,1,0
77,0,6,0
78,0,5,0
85,0,40,0
86,0,42,0
87,0,37,0
88,0,38,0
89,0,2,0
90,0,0,1
91,0,3,0
92,0,7,0
93,0,4,0
19,2,23,0
28,2,26,0
39,2,24,0
40,2,25,0
51,2,31,0
52,2,29,0
64,2,21,0
65,2,0,1
66,2,30,0
67,2,28,0
79,2,20,0
80,2,32,0
81,2,35,0
95,2,19,0
96,2,22,0
97,2,34,0
98,2,33,0
111,2,3,0
112,2,2,0
113,2,16,0
114,2,14,0
128,2,1,0
129,2,0,0
130,2,15,0
131,2,17,0
144,2,12,0
145,2,9,0
146,2,13,0
161,2,11,0
162,2,10,0
163,2,27,0
176,2,7,0
177,2,5,0
189,2,6,0
190,2,8,0
201,2,4,0
103,1,4,0
104,1,5,0
105,1,1,0
106,1,3,0
107,1,39,0
108,1,37,0
109,1,42,0
110,1,43,0
119,1,7,0
120,1,6,0
121,1,0,0
122,1,2,0
123,1,38,0
124,1,36,0
125,1,40,0
126,1,41,0
136,1,11,0
137,1,9,0
138,1,13,0
139,1,14,0
140,1,50,0
141,1,51,0
142,1,47,0
143,1,46,0
151,1,10,0
152,1,12,0
153,1,15,0
154,1,16,0
155,1,52,0
156,1,49,0
157,1,48,0
159,1,45,0
160,1,1,1
167,1,21,0
168,1,20,0
169,1,0,1
170,1,33,0
171,1,34,0
172,1,60,0
173,1,59,0
174,1,57,0
175,1,55,0
180,1,19,0
181,1,22,0
182,1,32,0
183,1,35,0
184,1,62,0
185,1,61,0
187,1,58,0
188,1,56,0
193,1,23,0
194,1,26,0
195,1,28,0
196,1,31,0
197,1,69,0
198,1,70,0
199,1,64,0
200,1,66,0
203,1,24,0
204,1,25,0
205,1,30,0
206,1,29,0
207,1,71,0
209,1,68,0
210,1,67,0
211,1,65,0
212,1,53,0

-1,0,0,100
-2,0,1,100
-3,0,8,0
-4,0,17,0
-5,0,18,0
-6,0,27,0
-13,2,0,100
-14,2,1,100
-15,2,18,0
-20,1,2,100
-21,1,3,100
-22,1,44,0
-23,1,54,0
-24,1,63,0
-25,1,0,100
-26,1,1,100
-27,1,8,0
-28,1,17,0
-29,1,18,0
-30,1,27,0
-31,0,2,100
-32,0,3,100
-33,0,44,0
-34,0,53,0
-35,0,54,0
-36,0,63,0

