PAD,ASIC,Channel,Channeltype
99,0,0,0
98,0,1,0
115,0,2,0
114,0,3,0
96,0,4,0
97,0,5,0
113,0,6,0
112,0,7,0
127,0,9,0
128,0,10,0
141,0,11,0
142,0,12,0
130,0,13,0
145,0,14,0
144,0,15,0
129,0,16,0
157,0,19,0
156,0,20,0
169,0,21,0
170,0,22,0
180,0,23,0
190,0,24,0
181,0,25,0
191,0,26,0
171,0,28,0
172,0,29,0
158,0,30,0
159,0,31,0
192,0,32,0
193,0,33,0
182,0,34,0
183,0,35,0
100,0,36,0
101,0,37,0
116,0,38,0
117,0,39,0
146,0,40,0
132,0,41,0
147,0,42,0
131,0,43,0
102,0,45,0
103,0,46,0
119,0,47,0
118,0,48,0
148,0,49,0
134,0,50,0
133,0,51,0
149,0,52,0
162,0,55,0
164,0,56,0
175,0,57,0
176,0,58,0
160,0,59,0
173,0,60,0
161,0,61,0
174,0,62,0
186,0,64,0
187,0,65,0
196,0,66,0
197,0,67,0
195,0,68,0
184,0,69,0
185,0,70,0
194,0,71,0
106,1,0,0
107,1,1,0
108,1,2,0
122,1,3,0
109,1,4,0
110,1,5,0
125,1,6,0
126,1,7,0
139,1,9,0
124,1,10,0
140,1,11,0
155,1,12,0
123,1,13,0
137,1,14,0
138,1,15,0
152,1,16,0
121,1,19,0
135,1,20,0
136,1,21,0
150,1,22,0
153,1,23,0
167,1,24,0
168,1,25,0
179,1,26,0
151,1,28,0
165,1,29,0
166,1,30,0
177,1,31,0
178,1,32,0
188,1,33,0
189,1,34,0
198,1,35,0
154,1,0,1
143,0,0,1
163,0,1,1

-1,0,8,0
-2,0,17,0
-3,0,18,0
-4,0,27,0
-5,0,44,0
-6,0,53,0
-7,0,54,0
-8,0,63,0
-9,1,8,0
-10,1,17,0
-11,1,18,0
-12,1,27,0

-20,0,0,100
-21,0,1,100
-22,0,2,100
-23,0,3,100
-24,1,0,100
-25,1,1,100
-26,1,2,100
-27,1,3,100
