PAD,ASIC,Channel,Channeltype
103,0,0,0
104,0,2,0
105,0,4,0
106,0,7,0
107,0,43,0
108,0,40,0
109,0,45,0
110,0,46,0
111,1,17,0
112,1,18,0
113,1,32,0
114,1,33,0
115,1,34,0
116,1,26,0
117,1,25,0
118,1,27,0
119,0,3,0
120,0,1,0
121,0,6,0
122,0,5,0
123,0,42,0
124,0,41,0
125,0,47,0
126,0,48,0
128,1,8,0
129,1,2,0
130,1,35,0
131,1,29,0
133,1,21,0
134,1,24,0
135,1,23,0
136,0,13,0
137,0,15,0
138,0,10,0
139,0,9,0
140,0,36,0
141,0,37,0
142,0,50,0
143,0,51,0
144,1,3,0
145,1,0,0
146,1,30,0
147,1,31,0
148,1,22,0
149,1,0,1
150,1,20,0
151,0,14,0
152,0,16,0
153,0,11,0
154,0,12,0
155,0,38,0
156,0,39,0
157,0,49,0
159,0,52,0
160,0,1,1
161,1,1,0
162,1,5,0
163,1,28,0
165,1,16,0
166,1,19,0
167,0,21,0
168,0,19,0
169,0,0,1
170,0,23,0
171,0,25,0
172,0,65,0
173,0,67,0
174,0,58,0
175,0,57,0
176,1,4,0
177,1,7,0
178,1,15,0
179,1,14,0
180,0,20,0
181,0,22,0
182,0,26,0
183,0,24,0
184,0,64,0
185,0,66,0
187,0,56,0
188,0,55,0
189,1,6,0
190,1,10,0
192,1,13,0
193,0,34,0
194,0,35,0
195,0,30,0
196,0,31,0
197,0,69,0
198,0,68,0
199,0,62,0
200,0,61,0
201,1,9,0
202,1,12,0
203,0,32,0
204,0,33,0
205,0,28,0
206,0,29,0
207,0,71,0
209,0,70,0
210,0,60,0
211,0,59,0
212,1,11,0

-1,0,8,0
-2,0,17,0
-3,0,18,0
-4,0,27,0
-5,0,44,0
-6,0,53,0
-7,0,54,0
-8,0,63,0

-20,0,0,100
-21,0,1,100
-22,0,2,100
-23,0,3,100
-24,1,0,100
-25,1,1,100
-26,1,2,100
-27,1,3,100
