PAD,ASIC,Channel,Channeltype
1,0,50,0
2,0,52,0
3,0,60,0
4,0,61,0
9,0,49,0
10,0,51,0
11,0,59,0
12,0,62,0
14,0,65,0
20,0,45,0
21,0,47,0
22,0,57,0
23,0,58,0
24,0,64,0
30,0,46,0
31,0,48,0
32,0,55,0
33,0,56,0
34,0,66,0
35,0,67,0
43,0,40,0
44,0,43,0
45,0,37,0
46,0,38,0
47,0,68,0
48,0,70,0
55,0,42,0
56,0,41,0
57,0,36,0
58,0,39,0
59,0,69,0
60,0,71,0
61,0,29,0
71,0,1,0
72,0,2,0
73,0,9,0
74,0,10,0
75,0,19,0
76,0,22,0
77,0,28,0
85,0,0,0
86,0,3,0
87,0,12,0
88,0,11,0
89,0,21,0
91,0,20,0
92,0,31,0
93,0,30,0
103,0,4,0
104,0,5,0
105,0,13,0
106,0,16,0
107,0,23,0
108,0,26,0
109,0,32,0
110,0,33,0
119,0,6,0
120,0,7,0
121,0,14,0
122,0,15,0
123,0,24,0
124,0,25,0
125,0,35,0
136,1,6,0
137,1,4,0
138,1,1,0
139,1,3,0
140,1,29,0
141,1,28,0
142,0,34,0
151,1,5,0
152,1,7,0
153,1,0,0
154,1,2,0
155,1,31,0
156,1,30,0
167,1,10,0
168,1,9,0
170,1,20,0
171,1,19,0
172,1,33,0
173,1,35,0
180,1,11,0
181,1,12,0
182,1,21,0
183,1,22,0
184,1,34,0
193,1,13,0
194,1,15,0
195,1,24,0
196,1,23,0
197,1,32,0
203,1,14,0
204,1,16,0
205,1,25,0
206,1,26,0
126,0,27,0
157,0,18,0
185,1,18,0
207,1,27,0

-1,0,0,100
-2,0,1,100
-3,0,8,0
-4,0,17,0

-31,0,2,100
-32,0,3,100
-33,0,44,0
-34,0,53,0
-35,0,54,0
-36,0,63,0

-21,1,0,100
-22,1,1,100
-23,1,8,0
-24,1,17,0

13,0,1,1
90,0,0,1
169,1,0,1

