#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
padnumber	xposition	yposition	type	optional


181	-5.61	+0.77	41	SIZE:0.55,ROTATE:60
182	-5.08	+0.77	0	SIZE:0.55,ROTATE:0
183	-4.54	+0.77	0	SIZE:0.55,ROTATE:0
184	-4.01	+0.77	0	SIZE:0.55,ROTATE:0
185	-3.47	+0.77	0	SIZE:0.55,ROTATE:0
186	-2.94	+0.77	0	SIZE:0.55,ROTATE:0
187	-2.40	+0.77	0	SIZE:0.55,ROTATE:0
188	-1.87	+0.77	0	SIZE:0.55,ROTATE:0
189	-1.87	+0.77	0	SIZE:0.55,ROTATE:0
190	-1.33	+0.77	0	SIZE:0.55,ROTATE:0
191	-0.79	+0.77	0	SIZE:0.55,ROTATE:0
192	-0.26	+0.77	0	SIZE:0.55,ROTATE:0
193	+0.28	+0.77	0	SIZE:0.55,ROTATE:0
194	+0.81	+0.77	0	SIZE:0.55,ROTATE:0
195	+1.35	+0.77	0	SIZE:0.55,ROTATE:0
196	+1.88	+0.77	0	SIZE:0.55,ROTATE:0
197	+1.88	+0.77	0	SIZE:0.55,ROTATE:0
198	+2.42	+0.77	0	SIZE:0.55,ROTATE:0
199	+2.95	+0.77	0	SIZE:0.55,ROTATE:0
200	+3.49	+0.77	0	SIZE:0.55,ROTATE:0
201	+4.02	+0.77	0	SIZE:0.55,ROTATE:0
202	+4.56	+0.77	0	SIZE:0.55,ROTATE:0
203	+5.09	+0.77	0	SIZE:0.55,ROTATE:0
204	+5.63	+0.77	41	SIZE:0.55,ROTATE:300
205	-5.88	+0.30	42	SIZE:0.55,ROTATE:-60,INVERT:1
206	-5.34	+0.30	0	SIZE:0.55,ROTATE:0
207	-4.81	+0.30	0	SIZE:0.55,ROTATE:0
208	-4.27	+0.30	0	SIZE:0.55,ROTATE:0
209	-3.74	+0.30	0	SIZE:0.55,ROTATE:0
210	-3.20	+0.30	0	SIZE:0.55,ROTATE:0
211	-2.67	+0.30	0	SIZE:0.55,ROTATE:0
212	-2.13	+0.30	0	SIZE:0.55,ROTATE:0
213	-1.60	+0.30	0	SIZE:0.55,ROTATE:0
214	-1.06	+0.30	0	SIZE:0.55,ROTATE:0
215	-0.53	+0.30	0	SIZE:0.55,ROTATE:0
216	+0.01	+0.30	0	SIZE:0.55,ROTATE:0
217	+0.54	+0.30	0	SIZE:0.55,ROTATE:0
218	+1.08	+0.30	0	SIZE:0.55,ROTATE:0
219	+1.61	+0.30	0	SIZE:0.55,ROTATE:0
220	+2.15	+0.30	4	SIZE:0.2,ROTATE:0
221	+2.15	+0.30	14	SIZE:0.55,ROTATE:0
222	+2.68	+0.30	0	SIZE:0.55,ROTATE:0
223	+3.22	+0.30	0	SIZE:0.55,ROTATE:0
224	+3.75	+0.30	0	SIZE:0.55,ROTATE:0
225	+4.29	+0.30	0	SIZE:0.55,ROTATE:0
226	+4.82	+0.30	0	SIZE:0.55,ROTATE:0
227	+5.36	+0.30	0	SIZE:0.55,ROTATE:0
228	+5.89	+0.30	42	SIZE:0.55,ROTATE:300
