#
#
#
#
#
#
padnumber	xposition	yposition
12	0	5.405
13	0.54	5.405
14	1.08	5.405
25	0.27	4.935
26	0.81	4.935
27	1.35	4.935
42	0	4.465
43	0.54	4.465
44	1.08	4.465
45	1.62	4.465
57	0.27	3.995
58	0.81	3.995
59	1.35	3.995
60	1.89	3.995
74	0	3.525
75	0.54	3.525
76	1.08	3.525
77	1.62	3.525
78	2.16	3.525
91	0.27	3.055
92	0.81	3.055
93	1.35	3.055
94	1.89	3.055
95	2.43	3.055
110	0	2.585
111	0.54	2.585
112	1.08	2.585
113	1.62	2.585
114	1.62	2.585
115	2.16	2.585
116	2.7	2.585
130	0.27	2.115
131	0.81	2.115
132	1.35	2.115
133	1.89	2.115
134	2.43	2.115
135	2.97	2.115
153	0	1.645
154	0.54	1.645
155	1.08	1.645
156	1.62	1.645
157	2.16	1.645
158	2.7	1.645
159	3.24	1.645
174	0.27	1.175
175	0.81	1.175
176	1.35	1.175
177	1.89	1.175
178	2.43	1.175
179	2.97	1.175
180	3.51	1.175
197	0	0.705
198	0.54	0.705
199	1.08	0.705
200	1.62	0.705
201	2.16	0.705
202	2.7	0.705
203	3.24	0.705
204	3.78	0.705
220	0.27	0.235
221	0.27	0.235
222	0.81	0.235
223	1.35	0.235
224	1.89	0.235
225	2.43	0.235
226	2.97	0.235
227	3.51	0.235
228	4.05	0.235
246	0	-0.235
247	0.54	-0.235
248	1.08	-0.235
249	1.62	-0.235
250	2.16	-0.235
251	2.7	-0.235
252	3.24	-0.235
253	3.24	-0.235
254	3.78	-0.235
255	4.32	-0.235
271	0.27	-0.705
272	0.81	-0.705
273	1.35	-0.705
274	1.89	-0.705
275	2.43	-0.705
276	2.97	-0.705
277	3.51	-0.705
278	4.05	-0.705
295	0	-1.175
296	0.54	-1.175
297	1.08	-1.175
298	1.62	-1.175
299	2.16	-1.175
300	2.7	-1.175
301	3.24	-1.175
302	3.78	-1.175
318	0.27	-1.645
319	0.81	-1.645
320	1.35	-1.645
321	1.89	-1.645
322	2.43	-1.645
323	2.97	-1.645
324	3.51	-1.645
341	0	-2.115
342	0.54	-2.115
343	1.08	-2.115
344	1.62	-2.115
345	2.16	-2.115
346	2.7	-2.115
347	3.24	-2.115
361	0.27	-2.585
362	0.81	-2.585
363	1.35	-2.585
364	1.89	-2.585
365	2.43	-2.585
366	2.97	-2.585
381	0	-3.055
382	0.54	-3.055
383	1.08	-3.055
384	1.62	-3.055
385	1.62	-3.055
386	2.16	-3.055
387	2.7	-3.055
400	0.27	-3.525
401	0.81	-3.525
402	1.35	-3.525
403	1.89	-3.525
404	2.43	-3.525
418	0	-3.995
419	0.54	-3.995
420	1.08	-3.995
421	1.62	-3.995
422	2.16	-3.995
436	0.27	-4.465
437	0.81	-4.465
438	1.35	-4.465
439	1.89	-4.465
452	0	-4.935
453	0.54	-4.935
454	1.08	-4.935
455	1.62	-4.935
466	0.27	-5.405
467	0.81	-5.405
468	1.35	-5.405

-14     4.884   0.317
-15     4.554   0.897
-17     2.289   4.820
-16     1.955   5.401

-10     5.080  -0.318
-11     4.755  -0.898
-1      4.420  -1.478
-2      4.085  -2.058
-3      3.755  -2.630
-4      3.455  -3.145
-5      3.155  -3.669
-6      2.825  -4.241
-13     2.490  -4.821
-12     2.155  -5.401
