#
#
#
#
#
#
padnumber	xposition	yposition
96	-5.91	-0.43
97	-5.12	-0.43
98	-4.33	-0.43
99	-3.54	-0.43
100	-2.75	-0.43
101	-1.96	-0.43
102	-1.17	-0.43
103	-0.38	-0.43
104	0.41	-0.43
105	1.2	-0.43
106	1.99	-0.43
107	2.78	-0.43
108	3.57	-0.43
109	4.36	-0.43
110	5.15	-0.43
111	5.94	-0.43
112	-5.51	-1.12
113	-4.72	-1.12
114	-3.94	-1.12
115	-3.15	-1.12
116	-2.35	-1.12
117	-1.57	-1.12
118	-0.78	-1.12
119	0.01	-1.12
120	0.78	-1.12
121	1.57	-1.12
122	2.35	-1.12
123	3.15	-1.12
124	3.94	-1.12
125	4.72	-1.12
126	5.51	-1.12
127	-5.12	-1.81
128	-4.33	-1.81
129	-3.54	-1.81
130	-2.75	-1.81
131	-1.96	-1.81
132	-1.17	-1.81
133	-0.38	-1.81
134	0.41	-1.81
135	1.2	-1.81
136	1.99	-1.81
137	2.78	-1.81
138	3.57	-1.81
139	4.36	-1.81
154	4.36	-1.81
140	5.15	-1.81
141	-4.72	-2.5
142	-3.94	-2.5
144	-3.15	-2.5
145	-2.35	-2.5
146	-1.57	-2.5
147	-0.78	-2.5
148	0.01	-2.5
149	0.78	-2.5
143	0.78	-2.5
150	1.57	-2.5
151	2.35	-2.5
152	3.15	-2.5
153	3.94	-2.5
155	4.72	-2.5
156	-4.33	-3.19
157	-3.54	-3.19
163	-3.54	-3.19
158	-2.75	-3.19
159	-1.96	-3.19
160	-1.17	-3.19
161	-0.38	-3.19
162	0.41	-3.19
164	1.2	-3.19
165	1.99	-3.19
166	2.78	-3.19
167	3.57	-3.19
168	4.36	-3.19
169	-3.94	-3.88
170	-3.15	-3.88
171	-2.35	-3.88
172	-1.57	-3.88
173	-0.78	-3.88
174	0.01	-3.88
175	0.78	-3.88
176	1.57	-3.88
177	2.35	-3.88
178	3.15	-3.88
179	3.94	-3.88
180	-3.54	-4.57
181	-2.75	-4.57
182	-1.96	-4.57
183	-1.17	-4.57
184	-0.38	-4.57
185	0.41	-4.57
186	1.2	-4.57
187	1.99	-4.57
188	2.78	-4.57
189	3.57	-4.57
190	-3.15	-5.26
191	-2.35	-5.26
192	-1.57	-5.26
193	-0.78	-5.26
194	0.01	-5.26
195	0.78	-5.26
196	1.57	-5.26
197	2.35	-5.26
198	3.15	-5.26

-12     6.754094709047231       -1.3475902085824996
-11     6.3590947090472305      -2.0317502775722063
-10     5.964094709047231       -2.715910346561912
-9     5.569094709047231       -3.4000704155516184
-25     5.174094709047231       -4.084230484541325
-24     4.779094709047231       -4.768390553531032

-8     1.9600000000000004      -6.289999999999999
-7     1.1700000000000002      -6.289999999999998
-6     0.3800000000000008      -6.289999999999999
-5     -0.40999999999999837    -6.29
-23     -1.1999999999999988     -6.289999999999998
-22     -1.9899999999999989     -6.29
-4     -4.79409470904723       -4.742409791417499
-3     -5.18909470904723       -4.058249722427792
-2     -5.58409470904723       -3.374089653438087
-1     -5.97909470904723       -2.6899295844483815
-21     -6.374094709047229      -2.005769515458674
-20     -6.76909470904723       -1.321609446468968

