#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


5	+0.41	+5.09	11	SIZE:0.82,ROTATE:0
6	+1.20	+5.09	44	SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05
7	+1.99	+5.09	11	SIZE:0.82,ROTATE:0
8	+2.78	+5.09	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:120

15	+0.02	+4.40	4	SIZE:0.82,ROTATE:0
16	+0.80	+4.40	0	SIZE:0.82,ROTATE:0
17	+1.59	+4.40	0	SIZE:0.82,ROTATE:0
18	+2.38	+4.40	0	SIZE:0.82,ROTATE:0
19	+3.17	+4.40	42	SIZE:0.82,ROTATE:60,INVERT:1

25	+0.41	+3.71	0	SIZE:0.82,ROTATE:0
26	+1.20	+3.71	0	SIZE:0.82,ROTATE:0
27	+1.99	+3.71	0	SIZE:0.82,ROTATE:0
28	+2.78	+3.71	0	SIZE:0.82,ROTATE:0
29	+3.57	+3.71	43	SIZE:0.82,ROTATE:300,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:-0.1

36	+0.01	+3.02	0	SIZE:0.82,ROTATE:0
37	+0.80	+3.02	0	SIZE:0.82,ROTATE:0
38	+1.59	+3.02	0	SIZE:0.82,ROTATE:0
39	+2.38	+3.02	0	SIZE:0.82,ROTATE:0
40	+3.17	+3.02	0	SIZE:0.82,ROTATE:0
42	+3.96	+3.02	41	SIZE:0.82,ROTATE:300

49	+0.41	+2.33	0	SIZE:0.82,ROTATE:0
50	+1.20	+2.33	0	SIZE:0.82,ROTATE:0
51	+1.99	+2.33	0	SIZE:0.82,ROTATE:0
52	+2.78	+2.33	0	SIZE:0.82,ROTATE:0
53	+3.57	+2.33	0	SIZE:0.82,ROTATE:0
54	+4.36	+2.33	41	SIZE:0.82,ROTATE:300

62	+0.01	+1.64	0	SIZE:0.82,ROTATE:0
63	+0.80	+1.64	0	SIZE:0.82,ROTATE:0
64	+1.59	+1.64	0	SIZE:0.82,ROTATE:0
65	+1.59	+1.64	14      SIZE:0.35,ROTATE:0
66	+2.38	+1.64   0       SIZE:0.82,ROTATE:0
67	+3.17	+1.64	0	SIZE:0.82,ROTATE:0
69	+3.96	+1.64	0	SIZE:0.82,ROTATE:0
70	+4.75	+1.64	41	SIZE:0.82,ROTATE:300

78	+0.41	+0.95	0	SIZE:0.82,ROTATE:0
79	+1.20	+0.95	0	SIZE:0.82,ROTATE:0
80	+1.99	+0.95	0	SIZE:0.82,ROTATE:0
81	+2.78	+0.95	0	SIZE:0.82,ROTATE:0
82	+3.57	+0.95	0	SIZE:0.82,ROTATE:0
83	+4.36	+0.95	0	SIZE:0.82,ROTATE:0
84	+5.15	+0.95	43	SIZE:0.82,ROTATE:300,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:-0.1

94	+0.01	+0.26	0	SIZE:0.82,ROTATE:0
95	+0.80	+0.26	0	SIZE:0.82,ROTATE:0
96	+1.59	+0.26	0	SIZE:0.82,ROTATE:0
97	+2.38	+0.26	0	SIZE:0.82,ROTATE:0
98	+3.17	+0.26	0	SIZE:0.82,ROTATE:0
100	+3.96	+0.26	0	SIZE:0.82,ROTATE:0
101	+4.75	+0.26	0	SIZE:0.82,ROTATE:0
102	+5.54	+0.26	42	SIZE:0.82,ROTATE:300

111	+0.41	-0.43	0	SIZE:0.82,ROTATE:0
112	+1.20	-0.43	0	SIZE:0.82,ROTATE:0
113	+1.99	-0.43	0	SIZE:0.82,ROTATE:0
114	+2.78	-0.43	0	SIZE:0.82,ROTATE:0
115	+3.57	-0.43	0	SIZE:0.82,ROTATE:0
116	+4.36	-0.43	0	SIZE:0.82,ROTATE:0
117	+5.15	-0.43	0	SIZE:0.82,ROTATE:0
118	+5.94	-0.43	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:60

127	+0.01	-1.12	0	SIZE:0.82,ROTATE:0
128	+0.80	-1.12	0	SIZE:0.82,ROTATE:0
129	+1.59	-1.12	0	SIZE:0.82,ROTATE:0
130	+2.38	-1.12	0	SIZE:0.82,ROTATE:0
131	+3.17	-1.12	0	SIZE:0.82,ROTATE:0
133	+3.96	-1.12	0	SIZE:0.82,ROTATE:0
134	+4.75	-1.12	0	SIZE:0.82,ROTATE:0
135	+5.54	-1.12	11	SIZE:0.82,ROTATE:-120

143	+0.41	-1.81	0	SIZE:0.82,ROTATE:0
144	+1.20	-1.81	0	SIZE:0.82,ROTATE:0
145	+1.99	-1.81	0	SIZE:0.82,ROTATE:0
146	+2.78	-1.81	0	SIZE:0.82,ROTATE:0
147	+3.57	-1.81	0	SIZE:0.82,ROTATE:0
148	+4.36	-1.81	0	SIZE:0.82,ROTATE:0
149	+4.36	-1.81	14      SIZE:0.35,ROTATE:0
150	+5.15	-1.81	44	SIZE:0.82,ROTATE:-120,TEXT_Y_OFFSET:-0.0,TEXT_X_OFFSET:-0.15

158	+0.01	-2.50	0	SIZE:0.82,ROTATE:0
159	+0.80	-2.50	0	SIZE:0.82,ROTATE:0
